task_id,task_name,required_skill,duration,resource_demand,priority,unmet_penalty
T_001,Task_1,Engineering,2,2.7,3.0,1588.5
T_002,Task_2,DevOps,2,2.68,3.0,1173.56
T_003,Task_3,Design,3,2.23,2.0,1112.04
T_004,Task_4,QualityAssurance,3,2.99,2.0,934.22
T_005,Task_5,Operations,1,1.07,1.0,327.01
T_006,Task_6,Engineering,2,2.34,4.0,1657.23
T_007,Task_7,Operations,2,3.1,5.0,1898.8
T_008,Task_8,Operations,1,1.61,3.0,1175.36
T_009,Task_9,Design,1,1.25,4.0,1698.97
T_010,Task_10,Design,2,2.77,2.0,613.68
T_011,Task_11,QualityAssurance,3,2.56,2.0,863.35
T_012,Task_12,DevOps,1,3.75,1.0,369.06
T_013,Task_13,Engineering,2,2.31,1.0,597.71
T_014,Task_14,Operations,3,1.37,2.0,1098.67
T_015,Task_15,DevOps,3,2.52,1.0,508.28
