task_id,task_name,required_skill,duration,resource_demand,priority,unmet_penalty
T_001,Task_1,Engineering,2,3.38,3.0,1588.5
T_002,Task_2,DevOps,2,3.35,3.0,1173.56
T_003,Task_3,Design,3,2.79,2.0,1112.04
T_004,Task_4,QualityAssurance,3,3.74,2.0,934.22
T_005,Task_5,Operations,1,1.34,1.0,327.01
T_006,Task_6,Engineering,2,2.92,4.0,1657.23
T_007,Task_7,Operations,2,3.88,5.0,1898.8
T_008,Task_8,Operations,1,2.01,3.0,1175.36
T_009,Task_9,Design,1,1.56,4.0,1698.97
T_010,Task_10,Design,2,3.46,2.0,613.68
T_011,Task_11,QualityAssurance,3,3.2,2.0,863.35
T_012,Task_12,DevOps,1,4.69,1.0,369.06
T_013,Task_13,Engineering,2,2.89,1.0,597.71
T_014,Task_14,Operations,3,1.71,2.0,1098.67
T_015,Task_15,DevOps,3,3.15,1.0,508.28
